Official Symbol Interactor A	Official Symbol Interactor B
Vcp	Ubox5
Vcp	Ube4b
Ccnd1	Cryab
Hdac1	Cebpb
Keap1	Nfe2l2
Skil	Ubc
Trp53	Mdm2
Spi1	Sin3a
Spi1	Hdac2
Runx1	Sin3a
Prkcd	Hspb1
Hspb1	Prkcd
Sp1	Bhlhe41
Ubc	Nfkbia
Nfkbia	Ubc
Nfkbia	Rela
Rela	Nfkbia
Rela	Ubc
Prmt6	Mecp2
Myb	Traf7
Traf7	Myb
Itpr1	Ubc
Itpr1	Ubc
Itpr1	Vcp
Nedd4	Ywhab
Actn2	Ldb3
Trp53	Ubc
Igf1r	Ubc
Map3k1	Map2k7
Cd40	Traf2
Cd40	Traf3
Ikbkg	Traf2
Cd40	Traf6
Map3k7	Traf6
Map3k7	Map3k7
Traf6	Ubc
Map3k2	Smurf1
Pdgfrb	Ubc
Pdgfrb	Cbl
Yy1	Gon4l
Sin3a	Hdac1
Gon4l	Yy1
Hdac1	Sin3a
Sin3a	Hdac1
Atxn3	Ubc
Fbxo32	Myod1
Hmga1	Taf3
Hmga1	Chaf1a
Thra	Ncor1
Thrb	Ncor1
Ncor1	Siah2
Pax3	Lef1
Lef1	Pax3
Dab1	Was
Smad7	Smurf2
Nfe2l2	Keap1
Flt1	Cbl
Cbl	Flt1
Cbl	Egfr
Crkl	Rapgef1
Ube4b	Vcp
Usp8	Rasgrf1
Cbl	Sh2b2
Hdac5	Mef2a
Nup50	Cdkn1b
Cdkn1b	Nup50
Ubc	Igf1r
Zfp932	Hdac2
Hdac2	Zfp932
Sox2	Sall4
Sox2	Hdac1
Sox2	Sox2
Ctcf	Ubtf
Ctcf	Polr1a
Ubtf	Ctcfl
Ubtf	Ctcf
Ago2	Ubc
Shcbp1	Trim71
Tnks	Kif3a
Axin1	Kif3a
Ptprf	Fyn
Cdk2	Ccna1
Cdk2	Ccne1
Cdk2	Cdkn1a
Ctnnb1	Lef1
Kat5	Etv6
Etv6	Kat5
Ccnd1	Cdk4
Ccnd1	Cdkn1b
Cdk4	Ccnd1
Cdk4	Cdkn1b
Ndfip1	Nedd4
Smad2	Smad4
Smad4	Smad2
Lef1	Ctnnb1
Clock	Crebbp
Ccne1	Cdk2
Ccnd1	Cdk4
Pak1	Rac1
Cdk2	Cdkn1a
Chordc1	Hsp90ab1
Chordc1	Ppp5c
Chordc1	Hsp90aa1
Trp53	Mdm2
Trp53	Ep300
Mdm2	Mdm4
Map3k7	Traf6
Rlim	Zfp42
Zfp42	Rlim
Psma1	Zfand2a
Zfand2a	Psmd7
Zfand2a	Psma1
Zfand2a	Psmd2
Cebpb	Bhlhe40
Bhlhe40	Cebpb
Ccna2	Cdk2
Cdk2	Ccna2
Hdac3	Emd
Gli2	Sumo2
Eya1	Smarcc2
Six1	Smarcc2
Six1	Sox2
Eya1	Sox2
Rnf2	Dmap1
Cdk2	Cdkn1a
Psmc1	Ngly1
Rad23b	Ngly1
Ngly1	Psmc1
Ngly1	Rad23b
Hdac4	Mef2a
Suz12	Phf19
Phf19	Suz12
Phf19	Ezh2
Phf19	Eed
Suz12	Ezh2
Suz12	Eed
Eed	Ezh2
Suz12	Mtf2
Mtf2	Suz12
Jak2	Stat3
Jak2	Pik3r1
Brca2	Rad51
Esr1	Pgr
Pgr	Esr1
Atg5	Casp8
Atg5	Fadd
Map1b	Nbr1
Smc3	Smc1b
Sox2	Six1
Sox2	Eya1
Dnm1	Sh3gl2
Itsn1	Cbl
Cdkn1b	Ccna2
Cdkn1b	Ccne1
Cdk4	Cdkn1b
Cdkn1b	Cdk4
Cdkn1b	Cdk2
Pfn2	Dnm1
Myod1	Mybbp1a
Zbtb7c	Srebf1
Runx1	Bmi1
Bmi1	Runx1
Pcgf2	Rnf2
Pcgf2	Rybp
Pcgf2	Cbx7
Rybp	Pcgf2
Rybp	Rnf2
Cbx7	Pcgf2
Cbx7	Rnf2
Rnf2	Pcgf2
Rnf2	Rybp
Rnf2	Cbx7
Vezf1	Morf4l1
Ccna2	Cdkn1b
Ccna2	Cdk2
Ccna2	Cdk1
Ccna2	Cdk2
Ccne1	Cdk2
Mysm1	Smarca2
Mysm1	Smarca4
Pou5f1	Supt16
Pou5f1	Zmym2
Pou5f1	Rnf2
Pou5f1	Msh2
Pou5f1	Msh6
Pou5f1	Ash2l
Pou5f1	Kif11
Pou5f1	Ppp1cc
Pou5f1	Arid3b
Cops2	Setdb1
Thrb	Setdb1
Grin1	Grin2a
Grin1	Grin2b
Grin1	Dlg4
Grin1	Dlg2
Nck1	Cbl
Fgr	Cbl
Cbl	Nck1
Tlr4	Myd88
Myd88	Cblb
Grin1	Syngap1
Grin1	Dlgap1
Grin2b	Syngap1
Grin2b	Dlgap1
Grin2b	Grin1
Grin2b	Grin2a
Grin2b	Dlg4
Grin1	Dlg3
Grin1	Nsf
Grin1	Camk2b
Grin1	Ppp2ca
Grin1	Ppp3ca
Grin1	Calm1
Grin1	Cdh2
Grin1	Actn2
Grin1	Myl12a
Grin1	Cltc
Grin1	Dnm1
Grin2b	Myl12a
Cebpa	Cdk4
Cdk4	Cebpa
Cdk4	Ccnd1
Ptk2	Bcar1
Tnk2	Cltc
Tnfrsf11a	Traf6
Cbl	Pik3r1
Zap70	Cbl
Fyn	Cbl
Cbl	Zap70
Cbl	Fyn
Cbl	Lck
Tnfrsf1a	Ripk1
Sorbs1	Cbl
Src	Cbl
Ripk1	Tnfaip3
Traf6	Itch
Cblb	Myd88
Per2	Sfpq
Sfpq	Per2
Per1	Clock
Per1	Arntl
Per1	Cry1
Per1	Csnk1e
Per2	Clock
Per2	Arntl
Per2	Cry1
Per2	Csnk1e
Psme3	Mafa
Cbl	Pik3r1
Cbl	Crk
Crk	Cbl
Pik3r1	Cbl
Src	Cbl
Cbl	Crk
Cbl	Pik3r1
Cbl	Src
Lyn	Cbl
Ptk2b	Src
Cbl	Pik3r1
Sh2b2	Cbl
Nr3c2	Ubc
Ubc	Nr3c2
Nr3c2	Tsg101
Hck	Cbl
Cbl	Pik3r1
Nanog	Stag1
Cbl	Src
Snx6	Git1
Cbl	Fgr
Cbl	Lyn
Grb2	Cbl
Hgs	Stam2
Il17ra	Traf3ip2
Sqstm1	Sod1
Sod1	Sqstm1
Sqstm1	Map1lc3a
Irf1	Pias3
Map1lc3a	Sqstm1
Sqstm1	Map1lc3a
Cdc27	Fzr1
Nfe2l2	Keap1
Fbxo2	Skp1a
Rnf41	Myd88
Rnf41	Tbk1
Tbk1	Ubc
Uchl1	Ubc
Pparg	Ubc
Siah2	Ncor1
Sod1	Sqstm1
Sqstm1	Sod1
Fbxl2	Ccnd3
Siah1a	Aff4
Siah1a	Aff2
Fbxo2	Skp1a
Ntrk1	Sqstm1
Tbk1	Optn
Tbk1	Irf3
Ikbkg	Ikbkg
Ikbkg	Ubc
Cacybp	Skp1a
Cish	Abl1
Crkl	Rapgef1
Fbxl3	Cry2
Btrc	Per2
Fbxw2	Skp1a
Fbxw2	Cul1
Htt	Sqstm1
Htt	Dnajb1
Htt	Dnaja1
Irs1	Pik3r1
Gli2	Sufu
Gli3	Sufu
Cltc	Tnk2
Ubc	Tnk2
Arntl	Cry1
Arntl	Usp2
Usp2	Cry1
Usp2	Arntl
Per1	Per1
Per1	Cry1
Per1	Arntl
Per1	Csnk1e
Per1	Usp2
Cry1	Arntl
Cry1	Usp2
Csnk1e	Per1
Usp14	Gabra1
Siah1a	Gapdh
Neurl1a	Dll1
Neurl1a	Dll4
Notch1	Rbpj
Nfkbia	Ubc
Apc	Ctnnb1
Znrf1	Tubb2a
Mdm2	Cdkn2a
