Official Symbol Interactor A	Official Symbol Interactor B
NR2C1	HDAC4
NR2C2	HDAC3
AR	HDAC3
AR	HDAC4
PPARD	HDAC3
PPARG	HDAC3
PPARG	HDAC4
EED	TGS1
NUMB	DPYSL2
NUMB	AP2A1
DPYSL2	AP2A1
DPYSL2	NUMB
TNNC1	TNNI3
POU4F1	RIT2
CIITA	NCOA1
OGG1	XRCC1
CAMK2A	DLG1
DLG1	GRIN2A
DLG1	GRIA1
CHTF18	RFC2
CHTF18	RFC3
CHTF18	RFC4
CHTF18	RFC5
CHTF18	DSCC1
CDKN1A	PARP1
CDKN1A	PCNA
SYT11	PARK2
PHACTR3	PPP1CA
UBE2I	RANGAP1
SUMO1	UBE2I
SUMO1	UBA2
PPFIA4	GIT1
PPFIA4	ERC2
PPFIA3	GIT1
PPFIA3	ERC2
PPFIA2	GIT1
PPFIA2	ERC2
PPFIA1	ERC2
PPFIA1	GIT1
IL16	PPP1R12B
POU5F1	SOX2
CSTA	CTSL
NR5A1	ZNF653
TP53	MTA1
TP53	MTA2
IPCEF1	CYTH1
IPCEF1	CYTH2
IPCEF1	CYTH3
IPCEF1	CYTH4
SUV39H1	RUNX1
CCNT1	AHR
SMARCD1	NR3C1
DAPK3	PAWR
MDM2	PML
TP53	PML
TP53	MDM2
EPM2A	NFU1
YY1	NOTCH1
NEDD4	CBLB
NEDD4	PMEPA1
RGPD5	TNPO1
DLG1	BTRC
SMAD3	NR3C1
LRPAP1	LRP8
LRPAP1	VLDLR
RELN	LRP8
RELN	VLDLR
TFB1M	TFAM
TFAM	TFB1M
MKNK2	EIF4G1
GPX1	ABL1
ABL1	GPX1
ADAP1	PRKCI
ADAP1	PRKCZ
ADAP1	PIK3CA
ADAP1	PRKD1
YWHAZ	PRKCI
YWHAZ	PRKCZ
PIK3CA	ADAP1
PRKCZ	ADAP1
PRKD1	ADAP1
RB1	CUX1
MTMR7	MTMR9
MTMR9	MTMR7
MTMR9	MTMR6
MTMR9	MTMR9
PIK3CA	DGKZ
POU2F1	GAPDH
ADRBK1	GNAQ
ADRBK1	GNA15
INPP5D	LYN
AURKA	UBE2N
CDK1	DAB2
PIN1	DAB2
MAP3K10	NEUROD1
RHOG	ELMOD2
PAK1	RAC1
SNAP23	SNAPIN
DDIT3	CSNK2A1
CSNK2A1	DDIT3
