Official Symbol Interactor A	Official Symbol Interactor B
Mysm1	Traf3
Mysm1	Traf6
Cdc34	Ubc
Ube2g1	Ubc
Ube2g1	Ubc
Cdc34	Ubc
Gadd45a	Btrc
Trim35	Irf7
Mavs	Pycard
Traf3	Pycard
Pik3r1	Abi1
Abi1	Pik3r1
Rab13	Micall2
Fbxo40	Irs1
Park2	Cav1
Rnf216	Arc
Rnf216	Ube2l3
Ncf2	Prdx6
Ncf2	Prdx6
Nr3c1	Nup62
Dlg4	Pik3c2a
Plin5	Pnpla2
Trp53	Trp53
Trp53	Trp53
Mapk14	Hspb2
Pih1d1	Telo2
Pih1d1	Telo2
Cebpb	Ptges2
Ptges2	Cebpb
Egfr	Egfr
Psrc1	Mapre3
Mapre3	Psrc1
Sh3rf1	Shroom3
Axin1	Axin1
Vegfa	Kdr
Bid	Traf6
Mapk8	Zbtb7c
Rybp	Rnf2
Rybp	Pou5f1
Trim32	Acta1
Trim32	Actn3
Trim32	Tpm1
Trim32	Des
Trim32	Tpm1
Trim32	Acta1
Trim32	Actn3
Trim32	Des
Ube3a	Kcnn2
Fbxo9	Pparg
Fbxo32	Myocd
Klhl21	Ikbkb
Trp53	Kcnma1
Fadd	Kcnma1
Kcnma1	Trp53
Kcnma1	Fadd
Mybbp1a	Zfp746
Suv39h1	Cbx1
Suv39h1	Cbx3
Suv39h1	Cbx5
Akt1	Gsk3a
Akt1	Gsk3b
G3bp1	Elavl4
G3bp1	Imp1
