Official Symbol Interactor A	Official Symbol Interactor B
BAG6	KLHL12
PLSCR1	NEU4
MAD2L1	TSC22D4
SQSTM1	GABARAPL1
ARRB1	GNMT
NDC80	CCDC53
RPS26	TSR2
NCS1	DTX2
KLHL2	KLHL12
CSTF2T	UBQLN1
SH3GL1	SH2D4A
ZMYND10	TSC22D4
IFT27	HSPB11
WDR5	MBIP
COL4A3BP	COL4A3BP
RALYL	RALYL
KRT6A	CCDC85B
SIAH1	AFF4
CDC23	RBPMS
DTX2	RFX6
DAZAP2	TOLLIP
PRPSAP1	PRPSAP1
MDFI	ZNF607
APPL2	RAB22A
BLOC1S6	BLOC1S6
MDFI	OTX1
UBE2I	IKZF3
AP2M1	RUNDC3A
EWSR1	RPL31
PAX6	IPO13
YWHAE	SORBS2
EWSR1	VPS72
MDFI	PIN1
MRI1	MRI1
ZC3H10	ZC3H10
TRAF2	APPL1
TRIP13	LNX1
HGS	MIF4GD
TRAF2	GORASP2
HNRNPC	HNRNPC
GABARAPL2	BCL2L13
KRT15	USP2
GCC1	FBF1
UBE2D1	RNF126
MAPK9	SF3B4
USO1	C1orf94
GINS2	GINS4
KRT15	C1orf216
TRAF2	TRAF6
CALML3	KIAA1683
ZNF263	ZNF446
RARA	RXRG
FLAD1	FLAD1
TRAPPC3	TRAPPC2L
CTBP2	NOL4
TRIM29	LZTS2
DVL3	KLHL12
FXR2	LCMT1
ILK	PARVA
GTPBP3	GTPBP3
PUF60	LOH12CR1
MAGEA11	DIEXF
CALCOCO2	FBXL18
SNF8	VPS25
NT5C2	NME7
RPS14	TAF9
GLRX3	KRTAP4-12
TEAD4	WWTR1
TANK	ZC3H12A
PLOD3	EHMT2
AP2B1	LDLRAP1
NCK2	ABI2
RTN3	RTN4
DAZAP2	ZFAND2B
UBE2D4	TRIM39
KRT17	CCDC85B
THAP1	THAP1
EWSR1	CFDP1
PRTFDC1	EEF2KMT
TPM3	KXD1
SGTA	EFEMP2
TNIP1	MAGEB18
RABAC1	LNX1
RAB3IL1	RAB3IP
CHMP4A	SYT17
LMO2	MAPRE3
NME1	POLR1C
EIF3H	ABI3
TRIP6	CATSPER1
LDOC1	FAM208B
DHPS	EIF5A2
GSTZ1	GSTZ1
EWSR1	ZNF165
PCBD1	LNX1
02-Sep	06-Sep
UBQLN1	UBQLN1
PARK2	TRIP13
MDFI	ZNF707
HNRNPC	RALYL
PIH1D1	TSC22D4
TRIP6	NCK2
CBX5	PRR14
SUFU	RCN3
HGS	LDOC1
PKN1	CCDC85B
NME7	TCHP
S100A1	S100A1
HPRT1	WDYHV1
DHPS	RPL9
HACL1	HACL1
