source target sign
9070 5929 +
9070 8085 -
850930 855450 +
850930 855418 +
850930 856382 -
854703 853643 -
854703 852207 +
852702 850440 -
5527 11200 +
5527 5516 +
7251 7251 +
7251 23295 +
7251 137492 +
7251 51160 -
851874 854243 +
851874 855489 +
851874 854138 -
851874 854023 -
9349 4193 -
10001 1024 +
10001 5469 +
10001 81857 -
10001 55588 +
851903 853985 +
851903 852996 -
851623 855950 +
851623 852352 -
851623 855013 -
851623 852258 +
10628 7295 -
10628 83737 -
10628 5781 +
1399 25 -
1399 2057 -
1399 1796 -
1399 9564 -
851209 856563 -
856891 852497 +
856891 856023 +
856891 852610 -
856891 856891 -
856891 854926 -
856891 852766 -
856891 853191 -
856891 851745 -
856891 856201 +
856891 855017 -
856891 854993 +
856891 852001 -
856891 856096 -
5782 1956 +
57504 3065 +
378708 91442 -
378708 201254 -
378708 2175 +
378708 57697 +
378708 80233 +
378708 2188 +
851156 855350 -
3020 55723 +
851678 855934 +
851678 851052 -
851678 856012 +
851678 855972 -
851678 854229 -
851678 850695 -
851678 853320 +
851678 852779 -
851678 850763 +
851678 851336 -
856062 851112 -
856062 855271 -
856062 851653 +
856062 852106 +
854392 853531 +
9025 9656 -
9025 7334 -
853531 855102 +
201254 57697 -
853909 852819 +
853909 853010 +
2908 1616 +
2908 8204 -
853168 850554 -
6772 2176 -
6772 1956 -
6772 2033 -
6772 2475 +
6772 6774 -
6772 8554 -
6772 6772 -
6772 5747 -
6772 5580 -
84246 10001 -
84246 29079 -
84246 400569 +
84246 112950 +
84246 1024 +
84246 9477 -
84246 54797 -
84246 219541 +
851319 850872 +
851319 855599 -
854256 851261 +
856382 852499 -
854697 856020 -
854697 854813 +
856463 853682 +
856463 856012 +
853956 853674 +
853956 856863 -
853956 855890 +
853956 855068 -
853956 854446 +
853956 853682 +
853956 853993 +
853956 855613 -
853956 856217 +
853956 856012 +
853956 851632 +
854480 852744 -
854680 850598 +
854680 852294 +
854680 852295 +
854680 850419 +
854680 851897 +
854680 853877 +
854680 855116 +
854680 856146 +
854680 855049 +
11130 83540 -
11130 57082 +
11130 10403 -
11130 57405 -
856307 852084 -
856307 856919 +
6923 7428 +
6923 6921 -
6923 6924 -
6923 8065 +
6923 23532 -
6923 140462 -
6923 155459 +
6923 8453 -
850819 851424 +
23192 11345 +
23192 23710 -
23192 81631 -
10273 4287 +
10273 10273 -
10273 7334 -
10273 2099 +
10273 7335 -
10273 3320 +
10273 5590 -
10273 3659 +
10273 6714 -
10273 9532 +
10273 5710 -
10273 1080 -
10273 5071 -
10273 367 -
10273 573 -
10273 4137 +
10273 3312 -
10273 7321 -
851811 855700 -
851811 851810 -
851811 855701 +
896 1027 -
854765 851928 +
854765 851424 +
854020 852582 +
854020 852665 -
51465 5071 +
852939 854995 -
60412 23265 -
60412 11336 +
854940 851988 +
10015 7251 -
10015 30011 +
10015 85365 -
10015 10015 -
10015 29082 +
10015 55165 -
10015 128866 +
10015 155030 -
7832 3276 -
850935 856083 +
5599 5609 +
5599 6416 -
5599 1386 -
5599 2002 -
5599 284403 -
5599 8518 +
5599 2950 +
5599 9479 -
856012 855335 +
856012 856012 -
856012 855613 -
856012 852767 +
856012 855789 -
851554 853846 +
9564 2185 -
9564 1398 +
9564 5747 -
9564 5782 -
3096 8945 -
23558 4734 -
7533 7531 -
7533 5894 -
854868 850552 -
83593 6789 -
4794 5966 +
4794 5970 -
6015 84108 -
6015 84333 +
6015 84759 +
6015 6045 -
6015 7703 +
6015 57332 -
6015 23466 -
6015 648 +
28996 6477 -
28996 5371 +
2060 1173 -
2060 85439 +
850430 852822 +
850430 852385 -
850430 850430 +
850430 851495 -
3622 25942 +
851427 851052 -
854509 854444 +
854509 856148 +
854509 851342 +
852892 856144 -
852892 851742 -
7186 7189 +
7186 329 -
7186 10010 +
7186 8717 -
7186 939 -
7186 9099 -
7186 7185 +
7186 3604 -
7186 29110 -
7186 7186 -
7186 7133 -
7186 7334 -
7186 3551 +
7186 9641 +
7186 9020 -
26121 24148 -
856723 856604 +
856723 851678 -
856723 850796 -
856723 851530 -
856723 856012 +
856723 850435 -
856723 853956 +
856723 853160 -
856723 854381 +
856723 856449 +
855253 852025 -
353497 5111 -
851478 851052 -
8289 6599 -
8289 6598 +
8289 6602 -
8289 6605 -
851061 851048 -
851061 851000 -
851061 856087 -
851061 851263 +
1601 4646 -
5897 5896 -
10097 10109 +
10097 10096 -
10097 10552 +
10097 10093 -
853479 856919 -
853479 851984 -
853479 855575 +
853479 852255 -
853479 851159 -
853479 855310 -
855583 855468 -
855583 854940 -
855583 851716 -
855583 850346 -
10460 6790 -
4287 5071 +
4287 7157 +
4287 4287 +
4287 7415 +
1788 1789 +
1398 5295 -
1398 2885 -
1398 1793 +
1398 6654 -
1398 2889 -
1398 867 +
1398 1956 +
8473 8314 +
851051 855048 -
851051 853729 -
851051 854353 -
851051 855136 -
851051 850504 -
853369 850585 +
850839 856486 +
850839 856570 +
57805 4609 +
852762 853760 -
856499 855263 -
856499 855276 +
856499 853167 -
856499 851756 -
856499 850744 -
856499 852001 +
856499 854418 +
856499 852059 +
8575 8575 -
856667 852728 +
27183 5119 +
855979 851957 -
851030 856254 +
10892 10892 -
54815 3065 +
5921 10657 +
5921 1796 +
2074 7157 +
3005 1017 +
853856 851532 +
853856 853528 -
854034 855470 -
854034 851379 +
854034 853397 -
852555 852996 +
853516 855908 -
852947 854680 -
852947 855049 +
3667 5295 +
3667 5290 -
3667 2885 -
851099 854123 +
4869 1058 +
4869 1029 -
4869 951475 -
4869 4869 -
4869 8350 +
4869 57602 +
853814 853958 -
853814 853909 -
853814 851579 +
5531 151987 -
5531 57718 -
5531 55671 +
5531 5518 -
5531 3476 +
5531 8030 +
855908 856687 -
856924 855454 +
856924 851564 -
856924 851676 -
55669 5071 +
3364 5810 +
1028 1017 +
1028 890 +
54797 5469 -
54797 29079 -
54797 9862 +
54797 55588 -
54797 112950 -
54797 9477 -
60626 2776 -
60626 29979 +
853037 856862 +
51003 219541 +
853353 852122 -
9894 5591 -
9894 545 +
472 7157 -
472 672 -
472 7013 -
472 25 -
472 4683 +
472 472 -
51130 8065 +
850981 856919 -
850981 855888 +
851559 852996 +
851559 856743 -
851261 851112 +
851261 855271 +
851261 856062 +
851261 850840 -
851261 852106 -
356 257364 +
356 355 +
1665 10181 +
273 1759 -
853783 854504 +
856547 854791 +
853747 852385 -
23624 1956 -
9164922 851318 +
8454 8454 +
8454 9978 +
8454 23291 +
8454 84259 +
8454 6468 -
8454 26270 +
8454 56438 +
8454 55294 -
8454 10980 -
8454 9318 +
8454 6502 +
8454 123879 +
8454 6500 -
8454 54461 -
8454 79791 +
8454 55208 +
8454 26234 -
8454 84893 +
8454 26190 -
855428 851212 +
855428 856799 -
4988 10048 +
26088 9135 +
26088 55297 -
26088 3482 +
26088 6272 +
856040 851135 +
854232 852457 -
856065 852996 +
856065 855828 +
851984 856919 -
851984 850440 +
851984 855575 +
851984 853318 +
851984 852255 -
190 5468 -
56254 9810 +
56254 7320 +
7156 2175 +
851756 855821 -
851756 850347 -
851756 854017 -
851756 852373 +
851756 852059 +
5786 2885 +
855954 852518 +
855954 855194 +
855412 854504 -
852050 855700 -
852050 852295 +
5690 5683 +
853630 851000 -
853283 851190 -
853283 852457 -
853283 852499 -
79720 7251 +
855489 851447 -
855489 856466 +
10399 5144 -
7917 8266 +
7917 6449 -
8841 7528 +
8841 9611 -
8841 7181 +
8841 595 -
8841 10014 +
8841 9759 +
8841 8841 -
852778 853808 +
852778 852788 +
3728 1956 -
850820 856267 +
10869 6477 +
10869 3320 -
10869 8468 +
8518 55140 -
8518 55250 +
2057 6776 +
2057 8835 -
856847 856425 -
856847 850879 -
9861 5704 -
9861 5700 +
9861 7979 -
856490 850520 -
856490 854418 +
9467 695 +
4297 9070 +
4297 8350 -
4297 1499 -
4297 5929 -
4297 4297 -
851533 854700 -
855514 855543 -
855514 855862 +
855514 854317 +
855514 851499 +
855514 855897 +
854162 856481 -
854162 855489 -
854162 854138 -
854162 851447 -
854162 852987 +
854162 851874 +
854162 851061 -
854162 855758 -
854162 855532 -
854162 856466 +
856453 851071 -
8737 329 +
8737 7132 -
8737 7186 +
8737 330 -
8737 7128 -
8737 8517 +
8737 10133 +
854465 851645 -
854465 856091 -
854465 850495 -
854465 853264 -
