source target
DVA 	 PVR         
DVA 	 PVCL        
DVA 	 PVCR        
DVA 	 AVBL        
DVA 	 AVBR        
DVA 	 DA09        
DVA 	 PDA         
DVA 	 DB04        
DVA 	 DB06        
DVA 	 PDB         
DVA 	 VA09        
DVA 	 VA11        
DVA 	 VB10        
DVA 	 VB11        
DVA 	 VD13        
DVA 	 hyp         
DVA 	 PDC         
DVB 	 AVG         
DVB 	 AVL         
DVB 	 DVB         
DVB 	 DVC         
DVB 	 PVQR        
DVB 	 DD05        
DVB 	 HOB         
DVB 	 SPVL        
DVB 	 DVF         
DVB 	 EF3         
DVB 	 CA03        
DVB 	 CP01        
DVC 	 PVDR        
DVC 	 RIBL        
DVC 	 AVKR        
DVC 	 AVL         
DVC 	 DVB         
DVC 	 PVPL        
DVC 	 PVPR        
DVC 	 PVT         
DVC 	 DA08        
DVC 	 SPDL        
DVC 	 SPVL        
DVC 	 SPVR        
DVC 	 PVY         
DVC 	 PVZ         
DVC 	 DVE         
DVC 	 DVF         
DVC 	 EF3         
DVC 	 CA06        
DVC 	 CP01        
DVC 	 CP03        
DVC 	 CP04        
DVC 	 CP05        
DVC 	 CP06        
PVNL 	 PLMR        
PVNL 	 PQR         
PVNL 	 AVFL        
PVNL 	 AVFR        
PVNL 	 AVG         
PVNL 	 AVHR        
PVNL 	 PVNR        
PVNL 	 PVPL        
PVNL 	 PVCL        
PVNL 	 AVAR        
PVNL 	 AVBL        
PVNL 	 AVBR        
PVNL 	 AVDR        
PVNL 	 VD11        
PVNL 	 hyp         
PVNL 	 R7BL        
PVNL 	 SPDL        
PVNL 	 SPVL        
PVNL 	 PVV         
PVNL 	 PVX         
PVNL 	 PVY         
PVNL 	 EF1         
PVNL 	 CP07        
PVNR 	 PLNR        
PVNR 	 AVFL        
PVNR 	 AVFR        
PVNR 	 AVG         
PVNR 	 PVNL        
PVNR 	 PVPL        
PVNR 	 PVCR        
PVNR 	 AVBL        
PVNR 	 AVBR        
PVNR 	 LUAL        
PVNR 	 PDB         
PVNR 	 VD12        
PVNR 	 hyp         
PVNR 	 R7BR        
PVNR 	 R8BR        
PVNR 	 PVY         
PVNR 	 EF1         
PVNR 	 EF2         
PVNR 	 EF3         
PVNR 	 PDC         
PVPL 	 PQR         
PVPL 	 AVG         
PVPL 	 DVC         
PVPL 	 PVNL        
PVPL 	 PVNR        
PVPL 	 PVPR        
PVPL 	 PVT         
PVPL 	 PDA         
PVPL 	 DD05        
PVPL 	 DD06        
PVPL 	 VD09        
PVPL 	 VD10        
PVPL 	 VD11        
PVPL 	 VD13        
PVPL 	 SPVL        
PVPL 	 SPVR        
PVPL 	 PVX         
PVPL 	 PVY         
PVPL 	 PVZ         
PVPL 	 DVE         
PVPL 	 CP05        
PVPR 	 PQR         
PVPR 	 AVFL        
PVPR 	 AVKR        
PVPR 	 DVA         
PVPR 	 DVC         
PVPR 	 PVPL        
PVPR 	 PVQL        
PVPR 	 PVT         
PVPR 	 PDA         
PVPR 	 VB08        
PVPR 	 VD13        
PVPR 	 hyp         
PVPR 	 SPVL        
PVPR 	 SPVR        
PVPR 	 CA05        
PVPR 	 CA06        
PVPR 	 CA09        
PVQL 	 ASKL        
PVQL 	 PHAL        
PVQL 	 AVKR        
PVQL 	 PVPR        
PVQL 	 PVQR        
PVQL 	 DD05        
PVQL 	 hyp         
PVQL 	 CA05        
PVQL 	 CA06        
PVQR 	 ASKR        
PVQR 	 PHAR        
PVQR 	 PHBR        
PVQR 	 PHCR        
PVQR 	 AVG         
PVQR 	 AVHL        
PVQR 	 AVJR        
PVQR 	 DVB         
PVQR 	 PVQL        
PVQR 	 PDA         
PVQR 	 PDB         
PVQR 	 VD09        
PVQR 	 VD13        
PVQR 	 R2AR        
PVQR 	 HOA         
PVQR 	 PCAL        
PVQR 	 DVF         
PVQR 	 CA05        
PVQR 	 CA06        
PVQR 	 CP05        
PVR 	 ALML        
PVR 	 ALMR        
PVR 	 PVM         
PVR 	 PLML        
PVR 	 PLMR        
PVR 	 DVA         
PVR 	 PVCR        
PVR 	 VB09        
PVT 	 PQR         
PVT 	 DVC         
PVT 	 PVPL        
PVT 	 PVPR        
PVT 	 PDA         
PVT 	 SPVL        
PVT 	 SPVR        
PVWL 	 PQR         
PVWL 	 PHCL        
PVWL 	 PVCL        
PVWL 	 VA12        
PVWR 	 PQR         
PVWR 	 PHCL        
PVWR 	 PHCR        
PVWR 	 PVCR        
RID 	 ALA         
RID 	 AVBR        
RID 	 RMED        
PVCL 	 PDER        
PVCL 	 PHAL        
PVCL 	 AVJL        
PVCL 	 DVA         
PVCL 	 PVNL        
PVCL 	 PVWL        
PVCL 	 PVCR        
PVCL 	 AVAL        
